"ID","Family","Tribe","Genus","Species","Latitude","Longitude","Coll_Year"
"PHOTO_3880759715336008","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.283349,103.787565,2021
"PHOTO_3941016792643633","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.390585,103.803225,2021
"PHOTO_4006398366105475","Apidae","Meliponini","Tetragonula","Tetragonula valdezi",1.279088,103.799606,2021
"PHOTO_1630960486982620","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.408409,103.778099,2017
"PHOTO_917390288471443","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.297053,103.780869,2018
"PHOTO_1853734421371891","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.295329,103.777055,2018
"PHOTO_2246557388756257","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.32609,103.78418,2019
"PHOTO_2321102067968455","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.36896,103.8266,2019
"PHOTO_3469821943096456","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.411189,103.959314,2020
"PHOTO_3835459543199359","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.390585,103.803225,2021
"PHOTO_3842122955866351","Apidae","Xylocopini","Xylocopa","Xylocopa caerulea",1.390585,103.803225,2021
"PHOTO_1730216333723701","Apidae","Xylocopini","Xylocopa","Xylocopa insularis",1.446637,103.779688,2014
"PHOTO_1815790931832907","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.381203,103.951296,2018
"PHOTO_1864263666985633","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.411189,103.959314,2018
"PHOTO_1583753088370027","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.381203,103.951296,2018
"PHOTO_1682785245133477","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.370546,103.746462,2018
"PHOTO_1744741692271165","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.31312,103.78001,2018
"PHOTO_1760522164026451","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.31312,103.78001,2018
"PHOTO_1906732846072048","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.30078,103.91218,2018
"PHOTO_1990500421028623","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.411189,103.959314,2018
"PHOTO_1993111314100867","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.446637,103.779688,2019
"PHOTO_2166871486724848","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.35897,103.85053,2019
"PHOTO_2255568271188502","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.31312,103.78001,2019
"PHOTO_2452945984784062","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.286621,103.853099,2019
"PHOTO_3509326252479358","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.288292,103.869855,2020
"PHOTO_3609400499138599","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.30078,103.91218,2021
"PHOTO_3753711138040867","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.3488,103.7652,2021
"PHOTO_3958039964274649","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.28086,103.863276,2021
"PHOTO_3985704501508195","Apidae","Xylocopini","Xylocopa","Xylocopa aestuans",1.352843,103.692748,2021
"PHOTO_10156217654708972","Apidae","Xylocopini","Xylocopa","Xylocopa flavonigrescens",1.35339,103.69176,2018
"PHOTO_3428345833910734","Apidae","Xylocopini","Xylocopa","Xylocopa flavonigrescens",1.381203,103.951296,2020
"PHOTO_2066064000138931","Apidae","Xylocopini","Xylocopa","Xylocopa myops",1.3451,103.824611,2019
"PHOTO_437076773400813","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.446687,103.730106,2018
"PHOTO_1665163300229005","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.446687,103.730106,2018
"PHOTO_10156236503973044","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.35897,103.85053,2018
"PHOTO_1973569762671475","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.35339,103.69176,2018
"PHOTO_1649835715095097","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.31312,103.78001,2018
"PHOTO_439623779812327","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.31312,103.78001,2018
"PHOTO_1818181901593810","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.315194,103.815995,2018
"PHOTO_1878370072241659","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.34089,103.875,2018
